,city,driver_count,type,date,fare,ride_id
1594,Alvarezhaven,21,Urban,4/18/16 20:51,31.93,4.26702E+12
1595,Alvarezhaven,21,Urban,8/1/16 0:39,6.42,8.39454E+12
1596,Alvarezhaven,21,Urban,9/1/16 22:57,18.09,1.19733E+12
1597,Alvarezhaven,21,Urban,8/18/16 7:12,20.74,3.57421E+11
1598,Alvarezhaven,21,Urban,4/4/16 23:45,14.25,6.43143E+12
1599,Alvarezhaven,21,Urban,10/31/16 5:33,20.23,4.3489E+12
1600,Alvarezhaven,21,Urban,5/26/16 11:36,39.28,8.87875E+12
1601,Alvarezhaven,21,Urban,1/28/16 23:53,9.87,2.74759E+12
1602,Alvarezhaven,21,Urban,4/25/16 8:50,31.82,7.94825E+12
1603,Alvarezhaven,21,Urban,9/16/16 14:36,20.61,8.30781E+12
1604,Alvarezhaven,21,Urban,3/16/16 22:24,31.08,7.41383E+12
1605,Alvarezhaven,21,Urban,1/20/16 6:52,42.41,7.82554E+12
1606,Alvarezhaven,21,Urban,6/25/16 22:46,24.16,9.04732E+12
1607,Alvarezhaven,21,Urban,6/21/16 9:57,20.88,9.45679E+12
1608,Alvarezhaven,21,Urban,9/23/16 21:51,17.67,3.82934E+12
1609,Alvarezhaven,21,Urban,5/15/16 20:43,40.04,1.80681E+12
1610,Alvarezhaven,21,Urban,6/11/16 23:45,43.34,3.93817E+12
1611,Alvarezhaven,21,Urban,2/7/16 2:46,35.22,5.40576E+12
1612,Alvarezhaven,21,Urban,1/21/16 7:25,22.83,3.56558E+12
1613,Alvarezhaven,21,Urban,5/1/16 14:35,22.54,6.43526E+12
1614,Alvarezhaven,21,Urban,5/20/16 12:26,42,7.85257E+12
1615,Alvarezhaven,21,Urban,8/3/16 6:45,4.07,6.10019E+12
1616,Alvarezhaven,21,Urban,1/25/16 6:02,5.16,2.23303E+12
1617,Alvarezhaven,21,Urban,11/19/16 2:00,5.34,1.10817E+12
1618,Alvarezhaven,21,Urban,2/15/16 11:14,31.74,5.48702E+12
1619,Alvarezhaven,21,Urban,6/16/16 18:29,32.46,8.58631E+11
1620,Alvarezhaven,21,Urban,3/16/16 2:01,33.62,8.97465E+12
1621,Alvarezhaven,21,Urban,9/19/16 16:01,27.51,6.28267E+12
1622,Alvarezhaven,21,Urban,5/16/16 15:33,6.45,8.93975E+12
1623,Alvarezhaven,21,Urban,1/27/16 10:38,6.72,6.153E+12
1624,Alvarezhaven,21,Urban,7/4/16 4:28,33.31,3.06054E+11
461,Alyssaberg,67,Urban,5/28/16 9:20,35.61,7.4747E+12
462,Alyssaberg,67,Urban,4/29/16 20:53,19.77,44295036528
463,Alyssaberg,67,Urban,1/17/16 7:11,21.03,3.13802E+12
464,Alyssaberg,67,Urban,5/9/16 1:35,17.56,2.79671E+12
465,Alyssaberg,67,Urban,2/7/16 5:19,23.44,2.98358E+12
466,Alyssaberg,67,Urban,7/20/16 22:47,8.73,2.79662E+12
467,Alyssaberg,67,Urban,11/25/16 17:30,25.27,2.03759E+12
468,Alyssaberg,67,Urban,9/9/16 14:29,25.85,1.03914E+12
469,Alyssaberg,67,Urban,5/27/16 5:36,21.59,6.75285E+12
470,Alyssaberg,67,Urban,7/7/16 1:18,7.18,6.22282E+11
471,Alyssaberg,67,Urban,10/28/16 0:13,40.47,7.11465E+12
472,Alyssaberg,67,Urban,7/21/16 13:43,18.02,5.82405E+12
473,Alyssaberg,67,Urban,12/2/16 10:56,37.05,3.62772E+12
474,Alyssaberg,67,Urban,8/5/16 8:42,13.16,5.65608E+12
475,Alyssaberg,67,Urban,10/6/16 19:07,21.13,1.13052E+12
476,Alyssaberg,67,Urban,5/8/16 2:43,28.34,7.24204E+12
477,Alyssaberg,67,Urban,2/12/16 18:57,22.64,4.88753E+12
478,Alyssaberg,67,Urban,7/19/16 21:09,27.76,8.7606E+12
479,Alyssaberg,67,Urban,8/29/16 10:28,13.72,1.39945E+11
480,Alyssaberg,67,Urban,7/1/16 15:29,36,1.28373E+12
481,Alyssaberg,67,Urban,6/8/16 22:23,4.85,6.74321E+12
482,Alyssaberg,67,Urban,2/19/16 5:20,8.59,4.0345E+11
483,Alyssaberg,67,Urban,8/27/16 6:36,11.38,2.20484E+12
484,Alyssaberg,67,Urban,5/27/16 16:42,4.94,3.70542E+12
485,Alyssaberg,67,Urban,9/5/16 4:28,24.74,1.70231E+12
486,Alyssaberg,67,Urban,1/8/16 18:50,17.03,1.84174E+12
2100,Anitamouth,16,Suburban,1/3/16 16:21,43.54,2.47301E+12
2101,Anitamouth,16,Suburban,6/1/16 22:47,27.44,1.5523E+12
2102,Anitamouth,16,Suburban,1/29/16 20:03,41.74,4.54764E+12
2103,Anitamouth,16,Suburban,9/21/16 12:36,46.36,2.18154E+12
2104,Anitamouth,16,Suburban,3/3/16 13:56,40.85,3.93272E+12
2105,Anitamouth,16,Suburban,7/4/16 3:08,36.12,2.37567E+12
2106,Anitamouth,16,Suburban,12/2/16 22:59,38.64,7.34719E+12
2107,Anitamouth,16,Suburban,7/14/16 16:11,48.93,7.74551E+12
2108,Anitamouth,16,Suburban,1/6/16 7:02,12.22,5.60724E+12
1310,Antoniomouth,21,Urban,3/5/16 2:55,19.91,6.44874E+11
1311,Antoniomouth,21,Urban,8/27/16 6:53,33.31,6.66382E+12
1312,Antoniomouth,21,Urban,8/19/16 14:45,20.67,5.23005E+12
1313,Antoniomouth,21,Urban,5/2/16 17:52,8.43,4.17792E+12
1314,Antoniomouth,21,Urban,10/22/16 1:49,6.05,1.70057E+12
1315,Antoniomouth,21,Urban,11/4/16 11:06,14.44,9.93348E+12
